Location,longitude,latitude
YEG-14,-113.5201948,53.4167
YEG-15,-113.505079,53.4167
YEG-22,-113.3992685,53.4167
YEG-34,-113.6108895,53.42570901
YEG-47,-113.4143843,53.42570901
YEG-63,-113.5655421,53.43471802
YEG-64,-113.5504263,53.43471802
YEG-98,-113.4295,53.44372703
YEG-112,-113.6108895,53.45273604
YEG-116,-113.5504263,53.45273604
YEG-117,-113.5353106,53.45273604
YEG-140,-113.5806579,53.46174505
YEG-147,-113.4748474,53.46174505
YEG-148,-113.4597316,53.46174505
YEG-151,-113.4143843,53.46174505
YEG-152,-113.3992685,53.46174505
YEG-167,-113.5655421,53.47075405
YEG-174,-113.4597316,53.47075405
YEG-175,-113.4446158,53.47075405
YEG-190,-113.6108895,53.47976306
YEG-191,-113.5957737,53.47976306
YEG-194,-113.5504263,53.47976306
YEG-196,-113.5201948,53.47976306
YEG-205,-113.3841527,53.47976306
YEG-211,-113.6864684,53.48877207
YEG-214,-113.6411211,53.48877207
YEG-217,-113.5957737,53.48877207
YEG-233,-113.3539211,53.48877207
YEG-243,-113.5957737,53.49778108
YEG-264,-113.6713526,53.50679009
YEG-267,-113.6260053,53.50679009
YEG-270,-113.5806579,53.50679009
YEG-278,-113.4597316,53.50679009
YEG-303,-113.4748474,53.5157991
YEG-309,-113.3841527,53.5157991
YEG-325,-113.5353106,53.52480811
YEG-327,-113.505079,53.52480811
YEG-329,-113.4748474,53.52480811
YEG-341,-113.6864684,53.53381712
YEG-350,-113.5504263,53.53381712
YEG-351,-113.5353106,53.53381712
YEG-352,-113.5201948,53.53381712
YEG-355,-113.4748474,53.53381712
YEG-382,-113.4597316,53.54282613
YEG-408,-113.4597316,53.55183514
YEG-427,-113.5655421,53.56084414
YEG-433,-113.4748474,53.56084414
YEG-434,-113.4597316,53.56084414
YEG-439,-113.3841527,53.56084414
YEG-465,-113.3841527,53.56985315
YEG-485,-113.4748474,53.57886216
YEG-488,-113.4295,53.57886216
YEG-492,-113.3690369,53.57886216
YEG-516,-113.3992685,53.58787117
YEG-532,-113.5504263,53.59688018
YEG-545,-113.3539211,53.59688018
YEG-559,-113.5353106,53.60588919
YEG-565,-113.4446158,53.60588919
YEG-570,-113.3690369,53.60588919
YEG-613,-113.505079,53.62390721
YEG-639,-113.505079,53.63291622
YEG-641,-113.4748474,53.63291622
YEG-642,-113.4597316,53.63291622
YEG-665,-113.505079,53.64192523
YEG-754,-113.3388053,53.66895225